"model numbe","predictors","rsquare","adjustedRs","Cp","AIC","RMSE"
"1","X5","0.344943619245223","0.331842491630127","18.7752291693786","415.862474494416","8388.25857073401"
"2","X2 X5","0.436262245572797","0.413252541310462","11.4663782374474","410.05560318972","7369.2805709911"
"3","X2 X4 X5","0.48058427961336","0.448120797089195","8.9482725182092","407.797603795351","6934.36088080353"
"4","X2 X4 X5 X6","0.518201316378342","0.477197173091392","7.11366175117828","405.888337018961","6571.99138298173"
"5","X2 X3 X4 X5 X6","0.544975981532932","0.495516849090859","6.38430218128745","404.915177085294","6344.69888603812"
"6","X1 X2 X3 X4 X5 X6","0.560862734244735","0.5023110988107","6.76483615629338","405.067192612523","6262.34262318698"
"7","X1 X2 X3 X4 X5 X6 X7","0.568365678235255","0.499696581590863","8","406.171061528564","6298.49404416358"
